Chrom.1		
UV		
ml	mAU	
0.603	0.3058298	
0.604	0.3066428	
0.606	0.306412	
0.607	0.3061684	
0.609	0.3061726	
0.61	0.3058742	
0.612	0.3062804	
0.613	0.3061743	
0.615	0.3065146	
0.616	0.307026	
0.618	0.3065672	
0.619	0.3069248	
0.621	0.3081661	
0.622	0.3087106	
0.624	0.3090372	
0.625	0.3088747	
0.627	0.3091164	
0.628	0.3096398	
0.63	0.3085785	
0.631	0.3077066	
0.633	0.3068158	
0.634	0.3068042	
0.636	0.3068841	
0.637	0.3079665	
0.639	0.3079194	
0.64	0.3089122	
0.642	0.309885	
0.643	0.3098482	
0.645	0.310228	
0.646	0.3110089	
0.648	0.3115366	
0.649	0.310997	
0.651	0.3104999	
0.652	0.3106386	
0.653	0.3105402	
0.655	0.3107169	
0.656	0.3108912	
0.658	0.3105198	
0.659	0.3097378	
0.661	0.3095839	
0.662	0.3098538	
0.664	0.3087747	
0.665	0.3077532	
0.667	0.3084086	
0.668	0.3085227	
0.67	0.3084888	
0.671	0.3090015	
0.673	0.3089542	
0.674	0.3084368	
0.676	0.3080042	
0.677	0.3076882	
0.679	0.3071269	
0.68	0.3071913	
0.682	0.307321	
0.683	0.306691	
0.685	0.307051	
0.686	0.3074163	
0.688	0.3070782	
0.689	0.3063962	
0.691	0.3049982	
0.692	0.3039142	
0.694	0.3022859	
0.695	0.3003378	
0.697	0.2988181	
0.698	0.2983128	
0.7	0.29843	
0.701	0.2982666	
0.703	0.2977644	
0.704	0.2980689	
0.706	0.2980447	
0.707	0.2986771	
0.709	0.2978376	
0.71	0.2983722	
0.712	0.2983236	
0.713	0.2980325	
0.715	0.2964936	
0.716	0.2962303	
0.718	0.2953762	
0.719	0.2948266	
0.721	0.2932982	
0.722	0.291424	
0.724	0.2909791	
0.725	0.2911282	
0.727	0.290922	
0.728	0.2910229	
0.73	0.2901412	
0.731	0.2890792	
0.733	0.2881396	
0.734	0.2877961	
0.736	0.2873754	
0.737	0.2864388	
0.739	0.2856748	
0.74	0.2860879	
0.742	0.2859211	
0.743	0.2847782	
0.745	0.2843474	
0.746	0.2831629	
0.748	0.2831351	
0.749	0.2828957	
0.751	0.2820814	
0.752	0.2809285	
0.754	0.2807442	
0.755	0.2803903	
0.757	0.2799849	
