Chrom.1		
UV		
ml	mAU	
0.93	0.02177851	
0.932	0.02114761	
0.933	0.02041202	
0.935	0.01993699	
0.936	0.01949228	
0.938	0.01994246	
0.939	0.02045866	
0.941	0.02087682	
0.942	0.02069157	
0.944	0.019603	
0.945	0.0186693	
0.947	0.0191636	
0.948	0.01992549	
0.95	0.02069471	
0.951	0.02150881	
0.953	0.02113787	
0.954	0.02044985	
0.956	0.01935895	
0.957	0.01934114	
0.959	0.02031079	
0.96	0.0208782	
0.962	0.02168834	
0.963	0.02280392	
0.965	0.02301995	
0.966	0.02259734	
0.968	0.02311079	
0.969	0.02328357	
0.971	0.0245412	
0.972	0.02537948	
0.974	0.0271786	
0.975	0.02822093	
0.977	0.02923811	
0.978	0.03052492	
0.98	0.03190735	
0.981	0.03259966	
0.983	0.03235771	
0.984	0.03270162	
0.986	0.03297167	
0.987	0.03323346	
0.989	0.03324405	
0.99	0.03402283	
0.992	0.03543134	
0.993	0.03601568	
0.995	0.03637687	
0.996	0.03680079	
0.998	0.03716886	
0.999	0.03778838	
1.001	0.03891564	
1.002	0.04003809	
1.004	0.04439751	
1.005	0.04351387	
1.007	0.04566727	
1.008	0.04705032	
1.01	0.04697294	
1.011	0.04625358	
1.013	0.04654724	
1.014	0.0469427	
1.016	0.04896881	
1.017	0.04865112	
1.019	0.04828547	
1.02	0.04772021	
1.022	0.04771187	
1.023	0.04649641	
1.025	0.04490161	
1.026	0.04421024	
1.028	0.04382113	
1.029	0.04544273	
1.031	0.04539708	
1.032	0.0472656	
1.034	0.04777147	
1.035	0.04813723	
1.037	0.04759641	
1.038	0.04710605	
1.04	0.04580279	
1.041	0.04623247	
1.043	0.04824157	
1.044	0.04858088	
1.046	0.04884931	
1.047	0.04824739	
1.049	0.04787128	
1.05	0.04814886	
1.052	0.04878463	
1.053	0.0498513	
1.055	0.05024011	
1.056	0.05055403	
1.058	0.05103758	
1.059	0.05003277	
1.061	0.05090179	
1.062	0.04903515	
1.064	0.04842443	
1.065	0.04855909	
1.067	0.0488469	
1.068	0.04829169	
1.07	0.04871587	
1.071	0.0483566	
1.073	0.04794225	
1.074	0.04736444	
1.076	0.04660054	
1.077	0.04547384	
1.079	0.04308964	
1.08	0.0411077	
1.082	0.04048516	
1.083	0.04045405	
1.085	0.03927392	
1.086	0.03916838	
1.088	0.03938101	
1.089	0.04040941	
1.091	0.03894504	
1.092	0.0384589	
1.094	0.03794835	
1.095	0.03668782	
1.097	0.03518917	
1.098	0.03478933	
1.1	0.03530332	
1.101	0.03514284	
1.103	0.0341389	
1.104	0.03329225	
1.106	0.03319039	
1.107	0.03138988	
1.109	0.0312728	
1.11	0.03057316	
1.112	0.03015933	
1.113	0.02987676	
1.115	0.02932039	
1.116	0.02855316	
1.118	0.02649697	
1.119	0.02600683	
1.121	0.02584241	
1.122	0.02624292	
1.124	0.02557695	
1.125	0.02511471	
1.127	0.0249491	
1.128	0.02442202	
1.13	0.02370598	
1.131	0.02399899	
1.132	0.02403039	
1.134	0.02465155	
1.135	0.02442121	
1.137	0.02559998	
1.138	0.02545957	
1.14	0.02557943	
1.141	0.02520918	
1.143	0.02441777	
1.144	0.02439231	
1.146	0.02431321	
1.147	0.02631631	
1.149	0.02672375	
1.15	0.02641407	
1.152	0.02647175	
1.153	0.02685865	
1.155	0.02861871	
1.156	0.02795316	
1.158	0.02818352	
1.159	0.02859834	
1.161	0.02775652	
1.162	0.02670307	
1.164	0.02625979	
1.165	0.02526926	
1.167	0.02572835	
1.168	0.02599774	
1.17	0.02704118	
1.171	0.02741354	
1.173	0.02754356	
1.174	0.02673229	
1.176	0.02655628	
1.177	0.02689864	
1.179	0.02598233	
1.18	0.02590841	
1.182	0.02569956	
1.183	0.02541452	
1.185	0.02487311	
1.186	0.02487782	
1.188	0.0244113	
1.189	0.02529796	
1.191	0.02473392	
1.192	0.02460461	
1.194	0.02466961	
1.195	0.02425829	
1.197	0.02373437	
1.198	0.02476804	
1.2	0.02556139	
1.201	0.02470252	
1.203	0.02472186	
1.204	0.02516533	
1.206	0.02523308	
1.207	0.02514197	
1.209	0.02495119	
1.21	0.02522959	
1.212	0.02519401	
1.213	0.02510027	
1.215	0.02492577	
1.216	0.02464687	
1.218	0.02626744	
1.219	0.02547192	
1.221	0.02497557	
1.222	0.02273139	
1.224	0.02257475	
1.225	0.02331658	
1.227	0.0236408	
1.228	0.02307053	
1.23	0.02180404	
1.231	0.02180806	
1.233	0.02170671	
1.234	0.02152578	
1.236	0.02245237	
1.237	0.02223156	
