Chrom.1		
UV		
ml	mAU	
0.679	0.05291541	
0.68	0.05254403	
0.682	0.05165927	
0.683	0.05143136	
0.685	0.04974679	
0.686	0.04875856	
0.688	0.04768845	
0.689	0.04723132	
0.691	0.04606512	
0.692	0.04477466	
0.694	0.04361932	
0.695	0.04234093	
0.697	0.04162065	
0.698	0.04139142	
0.7	0.04070939	
0.701	0.04016939	
0.703	0.04057885	
0.704	0.04018014	
0.706	0.03941179	
0.707	0.03908199	
0.709	0.03863853	
0.71	0.03828475	
0.712	0.03811886	
0.713	0.03773156	
0.715	0.03729846	
0.716	0.03687841	
0.718	0.03631431	
0.719	0.0359582	
0.721	0.03552888	
0.722	0.03501862	
0.724	0.03398828	
0.725	0.03367962	
0.727	0.03408301	
0.728	0.03327785	
0.73	0.0325102	
0.731	0.03205696	
0.733	0.03243769	
0.734	0.03436095	
0.736	0.03448236	
0.737	0.03444698	
0.739	0.03296375	
0.74	0.03160929	
0.742	0.03092975	
0.743	0.02998871	
0.745	0.02938113	
0.746	0.02825386	
0.748	0.02757541	
0.749	0.02713948	
0.751	0.026669	
0.752	0.02570146	
0.754	0.02419334	
0.755	0.02396068	
0.757	0.02435119	
0.758	0.02417907	
0.76	0.02407957	
0.761	0.02432423	
0.763	0.02455765	
0.764	0.02434794	
0.766	0.02398797	
0.767	0.02503354	
0.769	0.02622581	
0.77	0.02697286	
0.772	0.02787953	
0.773	0.02790684	
0.775	0.02738086	
0.776	0.02734814	
0.778	0.02758683	
0.779	0.02855928	
0.781	0.02921068	
0.782	0.02915602	
0.784	0.02922031	
0.785	0.02949436	
0.787	0.0302031	
0.788	0.03060015	
0.79	0.03033391	
0.791	0.02997082	
0.793	0.03034762	
0.794	0.02999414	
0.796	0.02985464	
0.797	0.02957688	
0.799	0.02916046	
0.8	0.02842584	
0.802	0.02756847	
0.803	0.02736873	
0.805	0.02742845	
0.806	0.02773881	
0.808	0.02827481	
0.809	0.02810148	
0.811	0.02807673	
0.812	0.02837331	
0.814	0.02894262	
0.815	0.03045616	
0.817	0.03105817	
0.818	0.03098368	
0.82	0.03134353	
0.821	0.03231541	
0.822	0.03306793	
0.824	0.03362481	
0.825	0.03470153	
0.827	0.0355728	
0.828	0.03662664	
0.83	0.03728167	
0.831	0.03766902	
0.833	0.03769917	
0.834	0.03772394	
0.836	0.03808868	
0.837	0.03844226	
0.839	0.03912646	
0.84	0.03962676	
0.842	0.039396	
0.843	0.03998799	
0.845	0.04055887	
0.846	0.04010713	
0.848	0.04024947	
0.849	0.04114965	
0.851	0.04142393	
0.852	0.04112462	
0.854	0.04090289	
0.855	0.04107523	
0.857	0.04146936	
0.858	0.04177245	
0.86	0.04224012	
0.861	0.04256632	
0.863	0.04227499	
0.864	0.04291985	
0.866	0.04315899	
0.867	0.04296837	
0.869	0.04327048	
0.87	0.04401659	
0.872	0.04419868	
0.873	0.04515721	
0.875	0.04606731	
0.876	0.04665947	
0.878	0.04723441	
0.879	0.04784847	
0.881	0.04804004	
0.882	0.04784904	
0.884	0.04764099	
0.885	0.04749382	
0.887	0.04815883	
0.888	0.04941042	
0.89	0.04918586	
0.891	0.04872631	
0.893	0.04989622	
0.894	0.05128806	
0.896	0.05205637	
0.897	0.05238622	
0.899	0.05225741	
0.9	0.05191078	
0.902	0.05190003	
0.903	0.05154997	
0.905	0.05130173	
0.906	0.05143524	
0.908	0.05175362	
0.909	0.05214697	
0.911	0.05261441	
0.912	0.05292464	
0.914	0.05291734	
0.915	0.05251469	
0.917	0.05228976	
0.918	0.05136414	
0.92	0.05107653	
0.921	0.05190447	
0.923	0.05236476	
0.924	0.05185288	
0.926	0.05186154	
0.927	0.05234044	
0.929	0.05230197	
0.93	0.05158785	
0.932	0.0513339	
0.933	0.05147337	
0.935	0.05176493	
0.936	0.05208543	
0.938	0.05234991	
0.939	0.05256578	
0.941	0.05365903	
0.942	0.05546562	
0.944	0.0565397	
0.945	0.05672633	
0.947	0.05708952	
0.948	0.05633777	
0.95	0.05604989	
0.951	0.05671697	
0.953	0.05621243	
0.954	0.05539777	
0.956	0.0555418	
0.957	0.05572039	
0.959	0.05576216	
0.96	0.05635475	
0.962	0.05699399	
0.963	0.05636018	
0.965	0.05573656	
0.966	0.0566664	
0.968	0.05609127	
0.969	0.05434087	
0.971	0.05306047	
0.972	0.05292999	
0.974	0.05281638	
0.975	0.0530806	
0.977	0.05301511	
0.978	0.05271368	
0.98	0.05341927	
0.981	0.0544741	
0.983	0.05531375	
0.984	0.05587549	
0.986	0.05635836	
0.987	0.05583041	
0.989	0.05564905	
0.99	0.05572175	
0.992	0.05663963	
0.993	0.05677214	
0.995	0.05629602	
0.996	0.05568248	
0.998	0.05530496	
0.999	0.05520198	
1.001	0.05416327	
1.002	0.05336159	
1.004	0.04585958	
1.005	0.0479234	
1.007	0.04901082	
1.008	0.04953318	
1.01	0.04947455	
1.011	0.05013804	
1.013	0.05011585	
1.014	0.0499971	
1.016	0.05128728	
1.017	0.05274247	
1.019	0.052391	
1.02	0.05285056	
1.022	0.05309211	
1.023	0.05321053	
1.025	0.05372777	
1.026	0.05449845	
1.028	0.05296145	
1.029	0.05112154	
1.031	0.05144178	
1.032	0.05186496	
1.034	0.0527156	
1.035	0.05246774	
1.037	0.05279915	
1.038	0.05229833	
1.04	0.05317143	
1.041	0.05398145	
1.043	0.05368843	
1.044	0.05462843	
1.046	0.05513137	
1.047	0.05721877	
1.049	0.05813855	
1.05	0.0583134	
1.052	0.05851056	
1.053	0.0598819	
1.055	0.06100987	
1.056	0.06182028	
1.058	0.06211328	
1.059	0.06150404	
1.061	0.06141591	
1.062	0.06217689	
1.064	0.06182752	
1.065	0.06269812	
1.067	0.06364051	
1.068	0.06262083	
1.069	0.0624727	
1.071	0.06198576	
1.072	0.06115746	
1.074	0.06121577	
1.075	0.06085888	
1.077	0.06109016	
1.078	0.06033052	
1.08	0.06027714	
1.081	0.05908942	
1.083	0.05836001	
1.084	0.05768993	
1.086	0.05765569	
1.087	0.05669088	
1.089	0.05616466	
1.09	0.05532586	
1.092	0.0538283	
1.093	0.05324288	
1.095	0.05295644	
1.096	0.05358972	
1.098	0.0536523	
1.099	0.05215435	
1.101	0.05048679	
1.102	0.0510766	
1.104	0.0514869	
1.105	0.05146171	
1.107	0.0499321	
1.108	0.04932843	
1.11	0.0492311	
1.111	0.04981532	
1.113	0.04919674	
1.114	0.04930834	
1.116	0.04894689	
1.117	0.0491817	
1.119	0.04893625	
1.12	0.04847057	
1.122	0.04776104	
1.123	0.04725605	
1.125	0.04686338	
1.126	0.04638575	
1.128	0.04533577	
1.129	0.04505842	
1.131	0.04481932	
1.132	0.04399374	
1.134	0.04444919	
1.135	0.0453912	
1.137	0.04584427	
1.138	0.04624656	
1.14	0.04652086	
1.141	0.04630027	
1.143	0.0458471	
1.144	0.04583373	
1.146	0.04512253	
1.147	0.0447478	
1.149	0.04408286	
1.15	0.04497955	
1.152	0.04468938	
1.153	0.04573659	
1.155	0.04599217	
1.156	0.0471071	
1.158	0.04716331	
1.159	0.0476687	
1.161	0.04830553	
1.162	0.04873412	
1.164	0.04869464	
1.165	0.04756317	
1.167	0.0479043	
1.168	0.04834469	
1.17	0.04903277	
1.171	0.04825426	
1.173	0.04731139	
1.174	0.04921513	
1.176	0.0510631	
1.177	0.05168418	
1.179	0.05268164	
1.18	0.05393342	
1.182	0.05531467	
1.183	0.05636569	
1.185	0.05742063	
1.186	0.05904765	
1.188	0.06079283	
1.189	0.06248356	
1.191	0.06419651	
1.192	0.0665939	
1.194	0.06853361	
1.195	0.07121218	
1.197	0.0737795	
1.198	0.07630676	
1.2	0.07902651	
1.201	0.08205842	
1.203	0.08499853	
1.204	0.0866543	
1.206	0.08787156	
1.207	0.09023301	
1.209	0.09149782	
1.21	0.09410892	
1.212	0.09544238	
1.213	0.09704553	
1.215	0.09868086	
1.216	0.1019124	
1.218	0.1042932	
1.219	0.1064053	
1.221	0.1089082	
1.222	0.1109704	
1.224	0.113291	
1.225	0.1131152	
1.227	0.1141041	
1.228	0.1149855	
1.23	0.1159922	
1.231	0.1168845	
1.233	0.1174045	
1.234	0.1178593	
1.236	0.119088	
1.237	0.1210499	
1.239	0.1231236	
1.24	0.125515	
1.242	0.127146	
1.243	0.1285448	
1.245	0.128983	
1.246	0.1289802	
1.248	0.1308919	
1.249	0.1310405	
1.251	0.1319467	
1.252	0.1323153	
1.254	0.132755	
1.255	0.1327697	
1.257	0.133249	
1.258	0.1333844	
1.26	0.1345342	
1.261	0.1341801	
1.263	0.1335125	
1.264	0.1325934	
