Chrom.1		
UV		
ml	mAU	
1.08	0.1001304	
1.082	0.1008062	
1.083	0.1018095	
1.085	0.1007934	
1.086	0.09941363	
1.088	0.09810594	
1.089	0.09698857	
1.091	0.09673088	
1.092	0.09569011	
1.094	0.09560876	
1.095	0.09480703	
1.097	0.09387799	
1.098	0.094049	
1.1	0.09286066	
1.101	0.09244117	
1.103	0.09065364	
1.104	0.09021125	
1.106	0.08999413	
1.107	0.08902328	
1.109	0.08765431	
1.11	0.08788995	
1.112	0.08676988	
1.113	0.08705781	
1.115	0.08693889	
1.116	0.08621124	
1.118	0.08563817	
1.119	0.08512357	
1.121	0.08578891	
1.122	0.08687103	
1.124	0.08761849	
1.125	0.08800967	
1.127	0.08850931	
1.128	0.08864682	
1.13	0.08908129	
1.131	0.08949399	
1.133	0.09057204	
1.134	0.09188099	
1.136	0.09239777	
1.137	0.09134722	
1.139	0.08986994	
1.14	0.0891382	
1.142	0.08840523	
1.143	0.08728878	
1.144	0.08767679	
1.146	0.08798396	
1.147	0.0878614	
1.149	0.08773162	
1.15	0.08818162	
1.152	0.08812172	
1.153	0.08835657	
1.155	0.08766555	
1.156	0.08713914	
1.158	0.0859395	
1.159	0.08542094	
1.161	0.08555903	
1.162	0.08420317	
1.164	0.08482706	
1.165	0.08412712	
1.167	0.0852569	
1.168	0.08497123	
1.17	0.08426069	
1.171	0.08546558	
1.173	0.08559059	
1.174	0.0865349	
1.176	0.08697981	
1.177	0.08865944	
1.179	0.08986714	
1.18	0.09219178	
1.182	0.09407526	
1.183	0.09632218	
1.185	0.09792589	
1.186	0.1013172	
1.188	0.1027768	
1.189	0.1047425	
1.191	0.1070289	
1.192	0.1087505	
1.194	0.1095119	
1.195	0.110599	
1.197	0.1115075	
1.198	0.1124448	
1.2	0.1130241	
1.201	0.1137215	
1.203	0.1142262	
1.204	0.1160703	
1.206	0.1162089	
1.207	0.1178169	
1.209	0.1193703	
1.21	0.1201045	
1.212	0.1213715	
1.213	0.1237278	
1.215	0.1245917	
1.216	0.1265857	
1.218	0.1287066	
1.219	0.129975	
1.221	0.1316917	
1.222	0.1328463	
1.224	0.1341929	
1.225	0.1350377	
1.227	0.1360375	
1.228	0.1372664	
1.23	0.1391702	
1.231	0.1415813	
1.233	0.1429958	
1.234	0.143933	
1.236	0.1455017	
1.237	0.1491263	
1.239	0.1496836	
1.24	0.1506697	
1.242	0.1509286	
1.243	0.1509556	
1.245	0.1513426	
1.246	0.1500494	
1.248	0.1496516	
1.249	0.1494978	
1.251	0.1490933	
1.252	0.1475015	
1.254	0.1465564	
1.255	0.143958	
1.257	0.142398	
1.258	0.1404407	
1.26	0.1375513	
1.261	0.1350102	
1.263	0.1331943	
1.264	0.1322812	
1.266	0.1301523	
1.267	0.1286439	
1.269	0.1274674	
1.27	0.1261633	
1.272	0.1251191	
1.273	0.123971	
1.275	0.1228766	
1.276	0.121409	
1.278	0.1208933	
1.279	0.1198382	
1.281	0.1190341	
1.282	0.1170294	
1.284	0.1155023	
1.285	0.113489	
1.287	0.1126592	
1.288	0.1117651	
1.29	0.1110551	
1.291	0.108607	
1.293	0.1069665	
1.294	0.1050045	
1.296	0.1037181	
1.297	0.1020745	
1.299	0.100654	
1.3	0.09910106	
1.302	0.09838811	
1.303	0.09591644	
1.305	0.09487907	
1.306	0.09329885	
1.308	0.09205767	
1.309	0.0926405	
1.311	0.09176282	
1.312	0.08940817	
1.314	0.08865083	
1.315	0.08709124	
1.317	0.0854293	
1.318	0.08482383	
1.32	0.08443142	
1.321	0.08456116	
1.323	0.08385282	
1.324	0.08324964	
1.326	0.0835064	
1.327	0.08332555	
1.329	0.08219415	
1.33	0.0813833	
1.332	0.08101689	
1.333	0.08079112	
1.335	0.0815888	
1.336	0.08060204	
1.338	0.0798887	
1.339	0.07847995	
1.341	0.07917035	
1.342	0.07936634	
1.344	0.07893841	
1.345	0.07838129	
1.347	0.07849444	
1.348	0.07803563	
1.35	0.07781829	
1.351	0.07855614	
1.353	0.07883933	
1.354	0.0767872	
1.356	0.07631632	
1.357	0.07527896	
1.359	0.07444433	
1.36	0.07374803	
1.362	0.07296654	
1.363	0.07234383	
1.365	0.07239515	
1.366	0.07314574	
1.368	0.07353569	
1.369	0.07419033	
1.371	0.07469177	
1.372	0.07481092	
1.374	0.0748368	
1.375	0.07531118	
1.377	0.07461845	
1.378	0.0750744	
1.38	0.07471023	
1.381	0.07424733	
1.383	0.07481065	
1.384	0.07453502	
1.386	0.07462434	
1.387	0.0754695	
1.388	0.07558549	
1.39	0.07560313	
1.391	0.07593208	
1.393	0.07664415	
1.394	0.07700071	
1.396	0.07760052	
1.397	0.07803571	
1.399	0.07835553	
1.4	0.07816104	
1.402	0.07865871	
1.403	0.07874211	
1.405	0.07888759	
1.406	0.07923962	
1.408	0.08051965	
1.409	0.08154719	
1.411	0.08281227	
1.412	0.08307303	
1.414	0.08399022	
1.415	0.0834069	
1.417	0.08305234	
1.418	0.08347724	
1.42	0.08360556	
1.421	0.08217432	
1.423	0.08133054	
1.424	0.08087815	
1.426	0.08026053	
1.427	0.07977562	
1.429	0.08059906	
1.43	0.08069929	
1.432	0.08189078	
1.433	0.08254395	
1.435	0.08270758	
1.436	0.08364472	
1.438	0.08349094	
1.439	0.08364443	
1.441	0.08362764	
1.442	0.08314943	
1.444	0.08318128	
1.445	0.08275692	
1.447	0.08227801	
1.448	0.08263399	
1.45	0.08263952	
1.451	0.08369938	
1.453	0.08457131	
1.454	0.0850722	
1.456	0.08523351	
1.457	0.0842133	
1.459	0.08327013	
1.46	0.08229146	
1.462	0.08211686	
1.463	0.0820328	
1.465	0.082447	
1.466	0.0829342	
1.468	0.08271209	
1.469	0.0817289	
1.471	0.08094326	
1.472	0.08007822	
1.474	0.07961601	
1.475	0.07916535	
1.477	0.07918613	
1.478	0.08002508	
1.48	0.08035324	
1.481	0.07954022	
1.483	0.07866517	
1.484	0.07727024	
1.486	0.07589087	
1.487	0.0756907	
1.489	0.07551159	
1.49	0.07557429	
1.492	0.07566473	
1.493	0.07519543	
1.495	0.07523324	
1.496	0.07630414	
1.498	0.07693523	
1.499	0.07762446	
1.501	0.07793859	
1.502	0.07742682	
1.504	0.07685342	
1.505	0.07771208	
1.507	0.07759757	
1.508	0.0775212	
1.51	0.07791668	
1.511	0.07745948	
1.513	0.07820487	
1.514	0.07804441	
1.516	0.07800611	
1.517	0.07824597	
1.519	0.07774676	
1.52	0.07763135	
1.522	0.07778807	
1.523	0.07750029	
1.525	0.07744153	
1.526	0.07652551	
1.528	0.07505111	
1.529	0.07409812	
1.531	0.07330946	
1.532	0.07301451	
1.534	0.07323322	
1.535	0.07364823	
1.537	0.07333386	
1.538	0.07297378	
1.54	0.07324456	
1.541	0.0733474	
1.543	0.07341513	
1.544	0.07358699	
1.546	0.07399078	
1.547	0.07433993	
1.549	0.07403251	
1.55	0.07416929	
1.552	0.07425204	
1.553	0.0735172	
1.555	0.07359552	
1.556	0.07441518	
1.558	0.0743005	
1.559	0.07435166	
1.561	0.07485639	
1.562	0.07504775	
1.564	0.07573067	
1.565	0.07590467	
1.567	0.07593819	
1.568	0.07644919	
1.57	0.07658106	
1.571	0.07715698	
1.573	0.07730688	
1.574	0.07656875	
1.576	0.07577299	
1.577	0.07604433	
1.579	0.07660528	
1.58	0.07686578	
1.582	0.07695477	
1.583	0.07701874	
1.585	0.07675535	
1.586	0.07622261	
